"","ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Gene.symbol","Gene.title","Gene.ID"
"237799_at","237799_at",2.04270200561709e-15,4.85690463155412e-19,-37.3987297859279,32.6593738910157,-3.03676898461538,"AI733516","SLC22A12","solute carrier family 22 member 12","116085"
"244723_at","244723_at",4.47871818928218e-15,1.14681398536718e-18,-35.6976738938156,31.9623558663759,-3.80405338461538,"BF510430","ACSM2A","acyl-CoA synthetase medium-chain family member 2A","123876"
"237582_at","237582_at",7.02850934027202e-15,1.92826045000604e-18,-34.7056509510975,31.5338260609955,-3.87347333846154,"AW771563","","",""
"223782_s_at","223782_s_at",7.23339089645576e-15,2.11676734052661e-18,-34.5304439615197,31.4563667197546,-4.19051653846154,"AF195116","TINAG","tubulointerstitial nephritis antigen","27283"
"231683_at","231683_at",1.6752051246161e-14,5.20868534402811e-18,-32.882531297615,30.7003961488257,-3.88402689230769,"AI793201","GLYAT","glycine-N-acyltransferase","10249"
"208596_s_at","208596_s_at",1.73891189721021e-14,5.72481283032166e-18,-32.7140995616253,30.6202325790543,-6.28490693846154,"NM_019093","UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10","UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10","54659///54658///54657///54600///54579///54578///54577///54576///54575"
"214261_s_at","214261_s_at",3.84179081847416e-14,1.33505305077291e-17,-31.241380289924,29.8949731174864,-4.38359627692307,"H71135","ADH6","alcohol dehydrogenase 6 (class V)","130"
"220801_s_at","220801_s_at",3.97465908476159e-14,1.46762265391878e-17,-31.0807528590546,29.8131366178657,-4.91091078461538,"NM_016527","HAO2","hydroxyacid oxidase 2","51179"
"227794_at","227794_at",3.97465908476159e-14,1.52661802981241e-17,-31.0141207962166,29.7790259149423,-6.06928012307692,"BF432254","LOC100287413///GLYATL1","uncharacterized LOC100287413///glycine-N-acyltransferase like 1","100287413///92292"
"220951_s_at","220951_s_at",4.43333494991698e-14,1.783875059866e-17,-30.7521672792148,29.6439897169143,-3.37459193846154,"NM_014576","A1CF","APOBEC1 complementation factor","29974"
"1560885_x_at","1560885_x_at",4.99752525450637e-14,2.13985068480533e-17,-30.4488172670037,29.4857271074668,-4.005048,"AW779672","SLC17A1","solute carrier family 17 member 1","6568"
"214307_at","214307_at",4.99752525450637e-14,2.19370107193695e-17,-30.4076040240968,29.4640673864271,-4.79922555384615,"","HGD","homogentisate 1,2-dioxygenase","3081"
"206065_s_at","206065_s_at",6.79441132556553e-14,3.10672671493623e-17,-29.8361851375453,29.1597877226781,-5.95921076923077,"NM_001385","DPYS","dihydropyrimidinase","1807"
"213764_s_at","213764_s_at",9.03595956195801e-14,4.29693550271437e-17,29.3128980748395,28.8744937105341,8.30729035384615,"AW665892","MFAP5","microfibrillar associated protein 5","8076"
"214910_s_at","214910_s_at",1.46031677246058e-13,7.2114408516572e-17,-28.4957177302047,28.4157622950306,-4.24483103076923,"AF161454","APOM","apolipoprotein M","55937"
"241915_at","241915_at",1.57809451526431e-13,8.08169116184738e-17,-28.3188527300771,28.3142907178467,-3.58354283076923,"AA804293","ACSM2B","acyl-CoA synthetase medium-chain family member 2B","348158"
"235904_at","235904_at",1.95010868997372e-13,1.03435120272954e-16,-27.9393856024518,28.0938797476493,-6.57740946153846,"AL135700","UGT3A1","UDP glycosyltransferase family 3 member A1","133688"
"222257_s_at","222257_s_at",1.95158599149871e-13,1.07082907626815e-16,-27.8864778421758,28.0628520857691,-4.95345606153846,"AK026461","ACE2","angiotensin I converting enzyme 2","59272"
"209309_at","209309_at",2.00678705269245e-13,1.13782164853161e-16,-27.7940746510269,28.0084864075913,-5.3964436,"D90427","AZGP1","alpha-2-glycoprotein 1, zinc-binding","563"
"206535_at","206535_at",2.31657435230016e-13,1.3558368408524e-16,-27.5287737647323,27.8511411335939,-4.28052975384615,"NM_000340","SLC2A2","solute carrier family 2 member 2","6514"
"232678_at","232678_at",5.44574449756577e-13,3.28686910689841e-16,-26.2251216250235,27.0499350199578,-3.52981116923077,"AK025887","","",""
"224997_x_at","224997_x_at",8.15664301484083e-13,5.07226085970897e-16,25.6080344650737,26.6536410441152,5.23094129230769,"AL575306","MIR675///H19","microRNA 675///H19, imprinted maternally expressed transcript (non-protein coding)","100033819///283120"
"211357_s_at","211357_s_at",1.25694985540367e-12,8.04631823303677e-16,-24.96682855461,26.2295781692232,-7.74150743076923,"","ALDOB","aldolase, fructose-bisphosphate B","229"
"1560884_at","1560884_at",1.32510370978133e-12,8.85583713369622e-16,-24.8355354071337,26.1411540294024,-3.89962426153846,"AW779672","SLC17A1","solute carrier family 17 member 1","6568"
"1553746_a_at","1553746_a_at",1.32510370978133e-12,8.96732277309727e-16,-24.8184493448343,26.1296062498409,-3.3525996,"NM_173591","OTOGL","otogelin like","283310"
"229229_at","229229_at",1.34143669753543e-12,9.32319972681232e-16,-24.7653669134814,26.0936701234877,-5.66665324615384,"AJ292204","AGXT2","alanine--glyoxylate aminotransferase 2","64902"
"205216_s_at","205216_s_at",1.47302051705592e-12,1.07721815983256e-15,-24.5692672400742,25.9601230452614,-3.24856516923077,"NM_000042","APOH","apolipoprotein H","350"
"230914_at","230914_at",1.47302051705592e-12,1.07765561375833e-15,-24.5687181641239,25.9597473595049,-2.4316332,"AI032108","HNF4A","hepatocyte nuclear factor 4 alpha","3172"
"207126_x_at","207126_x_at",1.75010398821461e-12,1.31237793354913e-15,-24.3035926427849,25.7771866109416,-6.22943343076923,"NM_000463","UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10","UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10","54658///54657///54600///54578///54576///54575"
"221648_s_at","221648_s_at",1.8428125211941e-12,1.41560358281028e-15,-24.2024396745981,25.7069200746472,-7.74687010769231,"","AGMAT","agmatinase","79814"
"209496_at","209496_at",1.98985985306234e-12,1.56495608014048e-15,24.0690500597585,25.6137352101304,2.70074229230769,"BC000069","RARRES2","retinoic acid receptor responder 2","5919"
"215125_s_at","215125_s_at",2.66398925396377e-12,2.14385966482681e-15,-23.6549424992681,25.3205797697022,-7.41140349230769,"AV691323","UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10","UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10","54659///54658///54657///54600///54579///54578///54577///54576///54575"
"207131_x_at","207131_x_at",2.76749638673265e-12,2.27777480389518e-15,-23.5759962999202,25.2640188155489,-3.66137429230769,"NM_013430","GGT2///GGTLC1///GGTLC2///GGT1","gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1","728441///92086///91227///2678"
"241547_at","241547_at",2.95350445031756e-12,2.48488714612909e-15,-23.4630368180983,25.1827086171856,-2.34834747692308,"","A1CF","APOBEC1 complementation factor","29974"
"222930_s_at","222930_s_at",3.38743830694725e-12,2.95956844277637e-15,-23.2376630775029,25.019128843021,-3.82532964615385,"BC005090","AGMAT","agmatinase","79814"
"206754_s_at","206754_s_at",3.38743830694725e-12,2.97388273860938e-15,-23.2314715780498,25.0146093244791,-3.63595709230769,"NM_000767","CYP2B7P///CYP2B6","cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6","1556///1555"
"204532_x_at","204532_x_at",3.39725550481324e-12,3.04463684930679e-15,-23.2013209613705,24.9925810043442,-6.03543376923077,"NM_021027","UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10","UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10","54658///54657///54600///54578///54576///54575"
"209758_s_at","209758_s_at",3.61984258822979e-12,3.31032701255582e-15,23.0943350066341,24.914151177008,7.69091315384616,"U37283","MFAP5","microfibrillar associated protein 5","8076"
"213765_at","213765_at",4.06681614533485e-12,3.79346361979108e-15,22.9211165036611,24.7862842229262,7.56356563076923,"AW665892","MFAP5","microfibrillar associated protein 5","8076"
"227695_at","227695_at",4.99619607639769e-12,4.75175484174998e-15,-22.6373931113814,24.5744528021618,-3.26726443076923,"AW024547","LOC100287413///GLYATL1","uncharacterized LOC100287413///glycine-N-acyltransferase like 1","100287413///92292"
"205757_at","205757_at",5.1099974979067e-12,4.95344979220951e-15,-22.5853876071245,24.5352986749134,-2.06874812307692,"NM_001249","ENTPD5","ectonucleoside triphosphate diphosphohydrolase 5","957"
"206094_x_at","206094_x_at",5.22302976647901e-12,5.15854791751014e-15,-22.534739858536,24.497068717646,-6.08926015384615,"NM_001072","UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10","UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10","54659///54658///54657///54600///54579///54578///54577///54576///54575"
"223732_at","223732_at",5.47603663444316e-12,5.50858737804068e-15,-22.4530043303628,24.4351680389638,-3.24051684615385,"AF170911","SLC23A1","solute carrier family 23 member 1","9963"
"204704_s_at","204704_s_at",5.69645583356703e-12,5.83450437457254e-15,-22.3816695485352,24.3809361873025,-5.4808876,"BF195998","ALDOB","aldolase, fructose-bisphosphate B","229"
"239468_at","239468_at",5.74665974586543e-12,5.99103073643036e-15,22.3488858611238,24.3559472681504,5.29530856923077,"AW023227","MKX","mohawk homeobox","283078"
"222083_at","222083_at",5.76128344541763e-12,6.11164956258294e-15,-22.3242314898515,24.3371276259701,-5.47323441538461,"","GLYAT","glycine-N-acyltransferase","10249"
"230022_at","230022_at",5.92292137341421e-12,6.39144693244515e-15,-22.2689575787623,24.2948498480618,-3.44894766153846,"","CLEC18A///CLEC18C","C-type lectin domain family 18 member A///C-type lectin domain family 18 member C","348174///283971"
"220100_at","220100_at",6.04405309109534e-12,6.73958209409738e-15,-22.2036328480111,24.2447322096923,-3.67424381538461,"NM_018484","SLC22A11","solute carrier family 22 member 11","55867"
"229526_at","229526_at",6.04405309109534e-12,6.74325081951195e-15,-22.2029634863457,24.2442178141447,-2.30910075384615,"AI886656","AQP11","aquaporin 11","282679"
"205625_s_at","205625_s_at",6.40226818516989e-12,7.26000233160554e-15,-22.1123183328076,24.1743971666024,-7.84191909230769,"AW014927","CALB1","calbindin 1","793"
"236101_at","236101_at",6.7013900465005e-12,7.72176630872486e-15,-22.0368833681001,24.1160475754321,-4.53442247692308,"","","",""
"220135_s_at","220135_s_at",7.69355800212373e-12,9.00571947207899e-15,-21.8497538084137,23.9703325571953,-6.39385696923077,"NM_014270","SLC7A9","solute carrier family 7 member 9","11136"
"231154_x_at","231154_x_at",7.91062085930212e-12,9.40448753277801e-15,-21.7973101511263,23.9292457520182,-5.50275953846154,"","TINAG","tubulointerstitial nephritis antigen","27283"
"230772_at","230772_at",7.96921201644337e-12,9.6198992791086e-15,-21.7699446703762,23.9077626559723,-4.32218969230769,"AA639753","HNF4A","hepatocyte nuclear factor 4 alpha","3172"
"238428_at","238428_at",8.25462102113376e-12,1.0115402074366e-14,-21.7093680438041,23.860100377276,-4.20207830769231,"BG542347","KCNJ15","potassium voltage-gated channel subfamily J member 15","3772"
"221298_s_at","221298_s_at",8.7452799261023e-12,1.08766170091442e-14,-21.6221345684481,23.7912041186852,-4.27013896923077,"NM_004254","SLC22A8","solute carrier family 22 member 8","9376"
"205477_s_at","205477_s_at",1.05865024696876e-11,1.33601951606482e-14,-21.3766278379552,23.5956402354066,-2.83875992307692,"NM_001633","AMBP","alpha-1-microglobulin/bikunin precursor","259"
"231021_at","231021_at",1.09358236531429e-11,1.41100505412248e-14,-21.3118763842845,23.5436473784916,-3.06530675384615,"","SLC6A19","solute carrier family 6 member 19","340024"
"216696_s_at","216696_s_at",1.09358236531429e-11,1.42010695815847e-14,-21.3042639755756,23.5375234794483,-2.4469643076923,"","PRODH2","proline dehydrogenase 2","58510"
"210343_s_at","210343_s_at",1.16873512957842e-11,1.53907506775758e-14,-21.209232064451,23.4608704620633,-3.59231544615384,"AF124373","SLC22A6","solute carrier family 22 member 6","9356"
"244479_at","244479_at",1.20866870955193e-11,1.61376892176115e-14,-21.1534346685042,23.4156879151964,-3.26336429230769,"AI634980","","",""
"205544_s_at","205544_s_at",1.23613747526447e-11,1.67305300721666e-14,-21.1110480782412,23.3812773389326,-2.6258578,"NM_001877","CR2","complement component 3d receptor 2","1380"
"209919_x_at","209919_x_at",1.28612687219541e-11,1.7642343925863e-14,-21.0488441436784,23.3306410264236,-3.77013613846154,"L20490","GGT2///GGTLC1///GGTLC2///GGT1","gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1","728441///92086///91227///2678"
"206872_at","206872_at",1.34401136128457e-11,1.86821881038185e-14,-20.9819046112909,23.2759662565388,-5.48426703076923,"NM_005074","SLC17A1","solute carrier family 17 member 1","6568"
"206775_at","206775_at",1.58887634413761e-11,2.23764935525552e-14,-20.7722750192604,23.1035035798569,-4.35591326153846,"NM_001081","CUBN","cubilin","8029"
"217319_x_at","217319_x_at",1.64482824011628e-11,2.3465313713593e-14,-20.7173987339775,23.0580431360365,-3.57225703076923,"","CYP4A22///CYP4A11","cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11","284541///1579"
"203860_at","203860_at",1.72203124215186e-11,2.48816585514398e-14,-20.6498913363752,23.0019387807829,-2.35391576923077,"NM_000282","PCCA","propionyl-CoA carboxylase alpha subunit","5095"
"232325_at","232325_at",1.72489839984314e-11,2.52385682647372e-14,-20.6335167968049,22.9883001041205,-2.55438453846154,"","","",""
"242375_x_at","242375_x_at",1.75703302411551e-11,2.60301188757853e-14,-20.5980538079217,22.958721935507,-3.54686546153846,"AI796189","LOC101929036///PAH","uncharacterized LOC101929036///phenylalanine hydroxylase","101929036///5053"
"202431_s_at","202431_s_at",1.78170699270018e-11,2.67215314863127e-14,20.5679926878925,22.9336059104258,3.0740428923077,"NM_002467","MYC","v-myc avian myelocytomatosis viral oncogene homolog","4609"
"208284_x_at","208284_x_at",1.86291124046206e-11,2.85238685204813e-14,-20.4933210765866,22.8710452170431,-3.58610069230769,"NM_013421","GGT2///GGTLC1///GGTLC2///GGT1","gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1","728441///92086///91227///2678"
"215603_x_at","215603_x_at",1.86291124046206e-11,2.86208585640261e-14,-20.4894444947661,22.8677906320421,-3.03931027692308,"","LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1","inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1","102724197///100132705///728441///92086///91227///2679///2678"
"206263_at","206263_at",2.07493425360484e-11,3.22577798914333e-14,-20.3532634052315,22.7530350069594,-2.30294563076923,"NM_002022","FMO4","flavin containing monooxygenase 4","2329"
"206172_at","206172_at",2.15188748238036e-11,3.39615296583294e-14,-20.2949262854146,22.7036220396051,-3.67962447692308,"NM_000640","IL13RA2","interleukin 13 receptor subunit alpha 2","3598"
"222877_at","222877_at",2.15188748238036e-11,3.47624153903987e-14,20.2685581728344,22.6812372980292,4.29336736923077,"AK024680","NRP2","neuropilin 2","8828"
"217014_s_at","217014_s_at",2.15188748238036e-11,3.50087679756222e-14,-20.2605756110966,22.6744544524153,-2.56605998461538,"","AZGP1P1///AZGP1","alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding","646282///563"
"228581_at","228581_at",2.15188748238036e-11,3.50284382134161e-14,-20.2599407838579,22.67391491107,-3.91203755384615,"AW071744","KCNJ10","potassium voltage-gated channel subfamily J member 10","3766"
"206930_at","206930_at",2.18489016759002e-11,3.60693092797051e-14,-20.2268722182443,22.6457846325748,-4.84789829230769,"NM_005838","GLYAT","glycine-N-acyltransferase","10249"
"205226_at","205226_at",2.18489016759002e-11,3.63648843622664e-14,20.2176644614306,22.6379430962458,6.12101993846154,"NM_006207","PDGFRL","platelet derived growth factor receptor like","5157"
"219778_at","219778_at",2.27204974733679e-11,3.82311068596223e-14,20.1612851983765,22.5898452394067,4.34290930769231,"NM_012082","ZFPM2","zinc finger protein, FOG family member 2","23414"
"220376_at","220376_at",2.35812695625487e-11,4.01108014507001e-14,-20.1073504643036,22.543697265903,-4.46348698461539,"NM_022901","LRRC19","leucine rich repeat containing 19","64922"
"211682_x_at","211682_x_at",2.35988946838267e-11,4.05724023828023e-14,-20.094511787914,22.5326925576024,-3.39884956923077,"AF177272","UGT2B28","UDP glucuronosyltransferase family 2 member B28","54490"
"1553809_a_at","1553809_a_at",2.62695988960003e-11,4.56444791059904e-14,-19.9627791545104,22.4193397770202,-3.63511096923077,"NM_153237","TMEM252","transmembrane protein 252","169693"
"209101_at","209101_at",2.7042269276885e-11,4.74816250677817e-14,19.9188269072544,22.3813415077166,3.31106072307692,"M92934","CTGF","connective tissue growth factor","1490"
"205907_s_at","205907_s_at",2.74749102351904e-11,4.87437822188106e-14,19.88965449902,22.3560713664416,6.06343758461539,"","OMD","osteomodulin","4958"
"201431_s_at","201431_s_at",2.84326779171432e-11,5.09630075149526e-14,19.840236247258,22.3131730387253,3.24043893846154,"NM_001387","DPYSL3","dihydropyrimidinase like 3","1809"
"231632_at","231632_at",2.97791662484134e-11,5.39211240712013e-14,-19.7777707228761,22.2587852506601,-1.93651844615384,"AW051599","ERICH4","glutamate rich 4","100170765"
"231424_at","231424_at",3.19224729702489e-11,5.8385867343848e-14,-19.690003731975,22.1820575825527,-3.34696438461538,"AV700405","SLC5A12","solute carrier family 5 member 12","159963"
"214681_at","214681_at",3.36647710141645e-11,6.21882372643917e-14,-19.6206489949284,22.1211682946067,-2.78243576923077,"","GK","glycerol kinase","2710"
"210452_x_at","210452_x_at",3.50316385988176e-11,6.5353948551978e-14,-19.5662251213596,22.0732269909752,-4.10558047692308,"D26480","CYP4F2","cytochrome P450 family 4 subfamily F member 2","8529"
"242536_at","242536_at",3.55033283012276e-11,6.68832705080282e-14,-19.5409180888783,22.0508860983715,-4.92256824615384,"AI522220","","",""
"207298_at","207298_at",4.92198924618132e-11,9.36235723096218e-14,-19.1762953098895,21.7255574035613,-7.75070587692308,"NM_006632","SLC17A3","solute carrier family 17 member 3","10786"
"228320_x_at","228320_x_at",4.94990729237235e-11,9.58342214366957e-14,-19.1512256679232,21.7029501659271,-2.87681510769231,"R61322","BICDL1","BICD family like cargo adaptor 1","92558"
"205682_x_at","205682_x_at",4.94990729237235e-11,9.59652808397749e-14,-19.1497585371886,21.7016261765577,-4.14475483076923,"NM_019101","APOM","apolipoprotein M","55937"
"235371_at","235371_at",5.23412729632193e-11,1.02432852438307e-13,19.079859683814,21.6384231941828,4.0280448923077,"AI452595","GXYLT2","glucoside xylosyltransferase 2","727936"
"214389_at","214389_at",5.55926251471457e-11,1.09812592883251e-13,-19.0055575388415,21.5709716276293,-4.03104447692308,"AI733515","SLC5A12","solute carrier family 5 member 12","159963"
"212067_s_at","212067_s_at",6.19548365267019e-11,1.23513071447837e-13,18.8805803399153,21.4568915912206,3.24248215384615,"AL573058","C1R","complement C1r subcomponent","715"
"212646_at","212646_at",6.38520003182621e-11,1.28993176514964e-13,18.834621887985,21.4147416956108,2.12999783076923,"D42043","RFTN1","raftlin, lipid raft linker 1","23180"
"201540_at","201540_at",6.38520003182621e-11,1.29691489969469e-13,18.8289133802407,21.4094987516546,1.80636455384616,"NM_001449","FHL1","four and a half LIM domains 1","2273"
"214308_s_at","214308_s_at",6.38520003182621e-11,1.30798793518891e-13,-18.8199273836327,21.4012422556434,-3.71460755384615,"","HGD","homogentisate 1,2-dioxygenase","3081"
"209443_at","209443_at",6.54453106362146e-11,1.36342876831481e-13,-18.7761058735836,21.3609192342495,-3.92157553846154,"J02639","SERPINA5","serpin family A member 5","5104"
"224560_at","224560_at",6.54453106362146e-11,1.36745824372454e-13,18.772994218329,21.35805226688,2.8003154923077,"BF107565","TIMP2","TIMP metallopeptidase inhibitor 2","7077"
"241914_s_at","241914_s_at",6.54453106362146e-11,1.37653602618467e-13,-18.7660193016186,21.3516240290631,-6.33325178461539,"AA804293","ACSM2B///ACSM2A","acyl-CoA synthetase medium-chain family member 2B///acyl-CoA synthetase medium-chain family member 2A","348158///123876"
"232383_at","232383_at",6.98460747715482e-11,1.48187374000907e-13,-18.6884461873218,21.2799626912821,-3.49418950769231,"AL110232","TFEC","transcription factor EC","22797"
"231352_at","231352_at",7.45994357570349e-11,1.60527219974253e-13,-18.6046267552282,21.2021823861838,-3.91595666153846,"","SLC22A8","solute carrier family 22 member 8","9376"
"232083_at","232083_at",7.45994357570349e-11,1.61001068483404e-13,-18.6015445103308,21.1993152783858,-2.65165276923077,"AB046810","KIF16B","kinesin family member 16B","55614"
"216599_x_at","216599_x_at",7.80028153205012e-11,1.69772931378869e-13,-18.5461467720774,21.1477000006433,-4.44410915384615,"AJ271205","SLC22A6","solute carrier family 22 member 6","9356"
"203924_at","203924_at",7.92797096877578e-11,1.75213412794441e-13,-18.5132790722595,21.1170008184372,-5.4181524,"NM_000846","GSTA1","glutathione S-transferase alpha 1","2938"
"206522_at","206522_at",7.92797096877578e-11,1.75452123863168e-13,-18.5118615985662,21.1156755954123,-4.66687233846154,"NM_004668","MGAM","maltase-glucoamylase","8972"
"231156_at","231156_at",8.51128283872614e-11,1.89917970978434e-13,-18.4295451859089,21.0385356603457,-3.65764078461538,"AW242782","HAO2","hydroxyacid oxidase 2","51179"
"214424_s_at","214424_s_at",8.8209126918355e-11,1.98440285522774e-13,-18.3840790780025,20.9957757647063,-3.22288809230769,"AV650852","ALDOB","aldolase, fructose-bisphosphate B","229"
"239089_at","239089_at",1.00728080118294e-10,2.28445943020913e-13,-18.2389115107931,20.8585145772221,-3.99084801538462,"H59221","","",""
"230602_at","230602_at",1.02489857342121e-10,2.34316089030913e-13,-18.2128650945324,20.8337676886205,-6.11370596923077,"","ACMSD","aminocarboxymuconate semialdehyde decarboxylase","130013"
"205489_at","205489_at",1.03613797491254e-10,2.3878076788108e-13,-18.193509782842,20.815354475849,-3.01005081538461,"NM_001888","CRYM","crystallin mu","1428"
"211028_s_at","211028_s_at",1.06231973390561e-10,2.46757395895771e-13,-18.159857572226,20.7832922522663,-2.83273916923077,"BC006233","KHK","ketohexokinase","3795"
"206963_s_at","206963_s_at",1.0688962424593e-10,2.50239998234641e-13,-18.1455218264401,20.769615289362,-6.90038044615384,"NM_016347","NAT8B///NAT8","N-acetyltransferase 8B (putative, gene/pseudogene)///N-acetyltransferase 8 (putative)","51471///9027"
"231376_at","231376_at",1.17104760274369e-10,2.76296553733765e-13,-18.0444883979832,20.6729091182689,-2.87140501538461,"AW242408","UPP2","uridine phosphorylase 2","151531"
"211417_x_at","211417_x_at",1.18237350030788e-10,2.81131330663053e-13,-18.026846653563,20.6559660582836,-3.33228346153846,"L20493","GGT2///GGTLC1///GGTLC2///GGT1","gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1","728441///92086///91227///2678"
"239707_at","239707_at",1.26652358968531e-10,3.03829024903088e-13,-17.9480743130062,20.5801057807044,-3.4883018,"BF510408","SLC5A10","solute carrier family 5 member 10","125206"
"205221_at","205221_at",1.26652358968531e-10,3.05772499018675e-13,-17.9416190775794,20.5738740962032,-5.26929458461538,"NM_000187","HGD","homogentisate 1,2-dioxygenase","3081"
"202709_at","202709_at",1.3604304017716e-10,3.30932315382941e-13,17.8617394196659,20.4965707134466,3.55093561538462,"NM_002023","FMOD","fibromodulin","2331"
