"","ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Gene.symbol","Gene.title","Gene.ID"
"204051_s_at","204051_s_at",4.60128337138003e-09,2.32659035693331e-11,13.9991437276193,16.2837876419177,4.94851006153846,"AW089415","SFRP4","secreted frizzled related protein 4","6424"
"238151_at","238151_at",4.67455397995975e-09,2.39391881918378e-11,13.9758749232052,16.2552177765464,2.72457415384615,"BF511636","","",""
"1558103_a_at","1558103_a_at",4.98570329988258e-09,2.56238249157202e-11,13.9205359584645,16.1870979039501,2.07868769230769,"AK055438","HDGFRP3","hepatoma-derived growth factor, related protein 3","50810"
"221016_s_at","221016_s_at",5.20220359085616e-09,2.69268151113359e-11,13.8802897017202,16.1374023105075,1.61872330769231,"NM_031283","TCF7L1","transcription factor 7 like 1","83439"
"220327_at","220327_at",5.38961605353505e-09,2.81925960916511e-11,13.8431023196303,16.0913678546667,4.68074890769231,"NM_016206","VGLL3","vestigial like family member 3","389136"
"202450_s_at","202450_s_at",5.56056843249454e-09,2.92350759609039e-11,13.8137669205575,16.0549745706923,3.41773583076924,"NM_000396","CTSK","cathepsin K","1513"
"236270_at","236270_at",5.74808969664265e-09,3.03831352963827e-11,13.7827035820531,16.0163615750009,2.12358361538462,"AI806528","NFATC4","nuclear factor of activated T-cells 4","4776"
"229084_at","229084_at",6.15633682977466e-09,3.26536384203869e-11,13.7247393365629,15.9440996812752,3.00578223076923,"R42166","CNTN4","contactin 4","152330"
"227846_at","227846_at",6.29353733293818e-09,3.34964675607684e-11,13.7042914103784,15.9185425266529,1.75581990769231,"AA526584","GPR176","G protein-coupled receptor 176","11245"
"217890_s_at","217890_s_at",6.76367774932806e-09,3.63698446877448e-11,13.6384267027018,15.835987240756,1.19673261538462,"NM_018222","PARVA","parvin alpha","55742"
"238426_at","238426_at",6.81634729624741e-09,3.67777311823134e-11,13.6295215025862,15.8247979929358,3.92674323076923,"AV707703","TMEM130","transmembrane protein 130","222865"
"204052_s_at","204052_s_at",6.83027442291497e-09,3.69778002594025e-11,13.6251912627847,15.8193547474988,5.75073906153846,"NM_003014","SFRP4","secreted frizzled related protein 4","6424"
"221127_s_at","221127_s_at",6.83751374215138e-09,3.71978612744968e-11,13.6204565998558,15.8134013573216,2.75879335384616,"","DKK3","dickkopf WNT signaling pathway inhibitor 3","27122"
"201289_at","201289_at",6.88263653316207e-09,3.77648095098056e-11,13.6083925979682,15.7982236429321,2.86376750769231,"NM_001554","CYR61","cysteine rich angiogenic inducer 61","3491"
"229014_at","229014_at",6.90028791089442e-09,3.79878676027292e-11,13.6036981434173,15.7923142987923,1.53195124615385,"AW206234","NR2F1-AS1","NR2F1 antisense RNA 1","441094"
"219165_at","219165_at",7.06599528768091e-09,3.91586021429779e-11,13.5795235698793,15.761854627458,2.1118848,"NM_021630","PDLIM2","PDZ and LIM domain 2","64236"
"219561_at","219561_at",7.25701137408766e-09,4.04623858348902e-11,13.5534778109939,15.7289830213213,2.01755183076923,"NM_016429","COPZ2","coatomer protein complex subunit zeta 2","51226"
"225782_at","225782_at",7.25701137408766e-09,4.05066060217169e-11,13.552609917129,15.7278867066727,2.51724135384616,"AW027333","MSRB3","methionine sulfoxide reductase B3","253827"
"209550_at","209550_at",7.25701137408766e-09,4.06153722994207e-11,13.5504794192747,15.7251952178692,1.76293327692308,"U35139","NDN","necdin, MAGE family member","4692"
"212158_at","212158_at",7.79158659104705e-09,4.41772627933166e-11,13.4838305222119,15.6408055810699,1.28440544615385,"AL577322","SDC2","syndecan 2","6383"
"222288_at","222288_at",7.98106374829107e-09,4.55558136065832e-11,13.459535645679,15.6099514418835,3.95895446153846,"","","",""
"202273_at","202273_at",7.98106374829107e-09,4.56894915997276e-11,13.457220880101,15.6070091393525,1.90111241538462,"NM_002609","PDGFRB","platelet derived growth factor receptor beta","5159"
"224719_s_at","224719_s_at",8.92562489334432e-09,5.24028457387019e-11,13.349282784941,15.4693073619998,1.72599686153846,"BG339653","C12orf57","chromosome 12 open reading frame 57","113246"
"208747_s_at","208747_s_at",9.32731844843815e-09,5.54435938864636e-11,13.3050795590693,15.4126303447015,2.22302506153846,"M18767","C1S","complement component 1, s subcomponent","716"
"225464_at","225464_at",9.40980638213767e-09,5.62781287052404e-11,13.2933917622888,15.3976165262787,2.43111113846154,"N30138","FRMD6","FERM domain containing 6","122786"
"231773_at","231773_at",9.51697211185136e-09,5.70931294501554e-11,13.2821515716774,15.3831666901607,3.32955773846154,"BF002046","ANGPTL1","angiopoietin like 1","9068"
"229290_at","229290_at",9.70182592921243e-09,5.83795286824122e-11,13.26474783618,15.3607719972217,4.49595189230769,"","DAPL1","death associated protein like 1","92196"
"232267_at","232267_at",9.86386590101784e-09,6.04565466463769e-11,13.2374790476841,15.325631037686,3.92873373846154,"AL162032","ADGRD1","adhesion G protein-coupled receptor D1","283383"
"213217_at","213217_at",9.86386590101784e-09,6.06174475124279e-11,13.2354077414417,15.3229591639085,2.2164482,"AU149572","ADCY2","adenylate cyclase 2","108"
"201315_x_at","201315_x_at",9.97380755102842e-09,6.14755033323563e-11,13.2244582474147,15.3088287821558,0.989162246153848,"NM_006435","IFITM2","interferon induced transmembrane protein 2","10581"
"205422_s_at","205422_s_at",1.02005563386179e-08,6.31298078812131e-11,13.2037929226004,15.2821319791117,4.13832095384616,"NM_004791","ITGBL1","integrin subunit beta like 1","9358"
"201473_at","201473_at",1.02005563386179e-08,6.3246247805971e-11,13.2023598160661,15.2802792363444,2.59851670769231,"NM_002229","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","3726"
"223519_at","223519_at",1.03985961031619e-08,6.46643379071797e-11,13.1851250402593,15.2579839800403,2.56858910769231,"AW069181","ZAK","sterile alpha motif and leucine zipper containing kinase AZK","51776"
"212724_at","212724_at",1.14983340781737e-08,7.33958590449494e-11,13.0870316465865,15.1305989150648,1.75990707692308,"BG054844","RND3","Rho family GTPase 3","390"
"204320_at","204320_at",1.15324225219308e-08,7.38243782839651e-11,13.0825373641553,15.1247425671139,3.60091523076923,"NM_001854","COL11A1","collagen type XI alpha 1 chain","1301"
"233020_at","233020_at",1.18830089244902e-08,7.6503322202479e-11,13.0550460862505,15.0888812468138,2.24068567692308,"AU154125","SEC22B","SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)","9554"
"231513_at","231513_at",1.20153448702083e-08,7.75750661030366e-11,13.0443293043432,15.0748837252822,2.77521161538462,"BF111326","","",""
"225673_at","225673_at",1.21324923607686e-08,7.87752133163759e-11,13.0325112019252,15.0594360799624,2.3248032923077,"BE908995","MYADM","myeloid associated differentiation marker","91663"
"204400_at","204400_at",1.21398068081745e-08,7.91185521871417e-11,13.0291649633345,15.0550599312422,3.54677936923077,"NM_005864","EFS","embryonal Fyn-associated substrate","10278"
"203562_at","203562_at",1.22886723449964e-08,8.04635518885908e-11,13.0162013589609,15.0380971004004,2.48550313846154,"NM_005103","FEZ1","fasciculation and elongation protein zeta 1","9638"
"226847_at","226847_at",1.23941840911871e-08,8.13811081616129e-11,13.0074872499408,15.0266864305987,4.07356587692308,"BF438173","FST","follistatin","10468"
"227013_at","227013_at",1.25361498209521e-08,8.25425502614132e-11,12.9966034203685,15.0124252557822,1.36922775384616,"AI535735","LATS2","large tumor suppressor kinase 2","26524"
"222453_at","222453_at",1.25593909487195e-08,8.30253707928259e-11,12.9921260691393,15.0065555206795,2.24049956923077,"AL136693","CYBRD1","cytochrome b reductase 1","79901"
"219471_at","219471_at",1.27837841086007e-08,8.51083203572139e-11,12.9731179910962,14.9816165900217,2.08176023076923,"NM_025113","KIAA0226L","KIAA0226 like","80183"
"229487_at","229487_at",1.35625409869964e-08,9.10370835341136e-11,12.9215724492376,14.9138274765596,2.65194093846154,"W73890","EBF1","early B-cell factor 1","1879"
"231202_at","231202_at",1.36021220606497e-08,9.1551548574652e-11,12.9172665999112,14.9081540853476,3.34024444615385,"AI654224","ALDH1L2","aldehyde dehydrogenase 1 family member L2","160428"
"231382_at","231382_at",1.38652633456338e-08,9.35762629088043e-11,12.9005634197429,14.8861303992777,3.46813421538462,"AI798863","FGF18","fibroblast growth factor 18","8817"
"223235_s_at","223235_s_at",1.39265062856738e-08,9.4244304082292e-11,12.8951352860289,14.8789678971117,3.91621206153846,"AB014737","SMOC2","SPARC related modular calcium binding 2","64094"
"204396_s_at","204396_s_at",1.4008601919978e-08,9.50560825297088e-11,12.8885932287045,14.8703320776972,2.87938623076923,"NM_005308","GRK5","G protein-coupled receptor kinase 5","2869"
"201667_at","201667_at",1.41080468354246e-08,9.59889057664006e-11,12.8811475832947,14.8604988505997,1.63344835384616,"NM_000165","GJA1","gap junction protein alpha 1","2697"
"225372_at","225372_at",1.41300420225608e-08,9.63969945023349e-11,12.8779140915578,14.8562269450821,1.77367506153846,"AK024449","C10orf54","chromosome 10 open reading frame 54","64115"
"225990_at","225990_at",1.41634330912898e-08,9.68838404415615e-11,12.8740752776256,14.8511541141894,3.29477626153846,"W72626","BOC","BOC cell adhesion associated, oncogene regulated","91653"
"228827_at","228827_at",1.43209682830811e-08,9.8223376427168e-11,12.8636163679103,14.8373264475118,2.72716523076923,"AI217416","RUNX1T1","RUNX1 translocation partner 1","862"
"202995_s_at","202995_s_at",1.44094822997415e-08,9.90940163640204e-11,12.8568983612471,14.828439466595,4.73301464615385,"NM_006486","FBLN1","fibulin 1","2192"
"1552509_a_at","1552509_a_at",1.44874959406927e-08,9.99670321887315e-11,12.8502238359587,14.8196060194977,3.82931595384615,"NM_145273","CD300LG","CD300 molecule like family member g","146894"
"209540_at","209540_at",1.44874959406927e-08,1.00425440539964e-10,12.8467435483387,14.8149984317338,4.88977163076924,"AU144912","IGF1","insulin like growth factor 1","3479"
"225381_at","225381_at",1.4869567762868e-08,1.03345875626701e-10,12.8249547818041,14.786127473568,2.76830232307692,"AW162210","MIR100HG","mir-100-let-7a-2 cluster host gene","399959"
"228368_at","228368_at",1.48926228769165e-08,1.04050881371415e-10,12.8197915355458,14.7792797508748,3.53483487692308,"AI936560","ARHGAP20","Rho GTPase activating protein 20","57569"
"226627_at","226627_at",1.51982584042985e-08,1.06494591850142e-10,12.8021741045728,14.7558967741814,1.73871198461539,"","SEPT8","septin 8","23176"
"215389_s_at","215389_s_at",1.51982584042985e-08,1.06908603291514e-10,12.7992313758007,14.7519882856742,3.42677804615385,"X79857","TNNT2","troponin T2, cardiac type","7139"
"44790_s_at","44790_s_at",1.52340806513819e-08,1.07829706668218e-10,12.792726925404,14.7433464152843,2.76039953846154,"","KIAA0226L","KIAA0226 like","80183"
"204963_at","204963_at",1.54007737592891e-08,1.09291270573464e-10,12.7825245055374,14.7297837393012,2.48394301538462,"AL136756","SSPN","sarcospan","8082"
"239058_at","239058_at",1.55140093645743e-08,1.1037859429025e-10,12.7750267654871,14.7198105915415,1.96382383076923,"BF446723","FOXC2","forkhead box C2","2303"
"203002_at","203002_at",1.5651937261969e-08,1.11770360540046e-10,12.7655418443271,14.7071869447671,2.91538495384616,"NM_016201","AMOTL2","angiomotin like 2","51421"
"209542_x_at","209542_x_at",1.57791596507115e-08,1.13938903123066e-10,12.7510070449973,14.6878266134602,3.70565987692308,"M29644","IGF1","insulin like growth factor 1","3479"
"201792_at","201792_at",1.57791596507115e-08,1.13979969910024e-10,12.7507345963012,14.6874635304734,3.44879710769231,"NM_001129","AEBP1","AE binding protein 1","165"
"229116_at","229116_at",1.64945221069547e-08,1.20069863714092e-10,12.7114311114282,14.6350149363482,3.24119066153846,"AI670947","CNKSR2","connector enhancer of kinase suppressor of Ras 2","22866"
"230644_at","230644_at",1.67491046331377e-08,1.22535744915502e-10,12.6961072395161,14.6145281268163,2.60549796923077,"AI375083","LRFN5","leucine rich repeat and fibronectin type III domain containing 5","145581"
"226695_at","226695_at",1.69332894118727e-08,1.24192941091193e-10,12.6859892630767,14.6009895261205,4.51089027692308,"AA775472","PRRX1","paired related homeobox 1","5396"
"213422_s_at","213422_s_at",1.80232101526892e-08,1.33834903008538e-10,12.6297911272021,14.5256229453317,1.92712221538462,"","MXRA8","matrix remodeling associated 8","54587"
"205091_x_at","205091_x_at",1.82319814964582e-08,1.35718636836918e-10,12.6193081483823,14.511532520674,1.73978767692308,"NM_002907","RECQL","RecQ like helicase","5965"
"204037_at","204037_at",1.9524546302505e-08,1.47125982197203e-10,12.5589136038838,14.4301589475945,2.51536163076923,"BF055366","LPAR1","lysophosphatidic acid receptor 1","1902"
"224212_s_at","224212_s_at",2.09558856599135e-08,1.58295030224861e-10,12.504356892896,14.356362995506,1.60010189230769,"AF169689","PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9","protocadherin alpha 1///protocadherin alpha 2///protocadherin alpha 3///protocadherin alpha 4///protocadherin alpha 5///protocadherin alpha 6///protocadherin alpha 7///protocadherin alpha 8///protocadherin alpha 10///protocadherin alpha 11///protocadherin alpha 12///protocadherin alpha 13///protocadherin alpha subfamily C, 1///protocadherin alpha subfamily C, 2///protocadherin alpha 9","56147///56146///56145///56144///56143///56142///56141///56140///56139///56138///56137///56136///56135///56134///9752"
"227514_at","227514_at",2.11241233052863e-08,1.60394573216306e-10,12.4945527479037,14.3430723449834,1.93420844615385,"AI766311","ITPRIPL2","inositol 1,4,5-trisphosphate receptor interacting protein like 2","162073"
"212647_at","212647_at",2.11241233052863e-08,1.60724925377212e-10,12.4930223648107,14.3409969321005,1.732667,"NM_006270","RRAS","related RAS viral (r-ras) oncogene homolog","6237"
"228885_at","228885_at",2.13362011830704e-08,1.62728777198726e-10,12.4838093947022,14.3284982810581,3.09876464615385,"AI862120","MAMDC2","MAM domain containing 2","256691"
"225481_at","225481_at",2.15148524828049e-08,1.6448483471079e-10,12.4758328670836,14.3176706860084,2.4759494,"AL040051","FRMD6","FERM domain containing 6","122786"
"218730_s_at","218730_s_at",2.24916140893053e-08,1.72775087654472e-10,12.4393427005178,14.2680625154723,5.23589092307692,"NM_014057","OGN","osteoglycin","4969"
"1556121_at","1556121_at",2.25522938594038e-08,1.74164753004609e-10,12.4334058691707,14.2599797272641,1.9210534,"AK021751","NAP1L1","nucleosome assembly protein 1 like 1","4673"
"201438_at","201438_at",2.25522938594038e-08,1.74891131163918e-10,12.4303224011086,14.255780399396,3.69218261538462,"NM_004369","COL6A3","collagen type VI alpha 3 chain","1293"
"227399_at","227399_at",2.2747682749414e-08,1.76822408203035e-10,12.4221889476863,14.2446993271383,4.70756927692308,"AI754423","VGLL3","vestigial like family member 3","389136"
"227526_at","227526_at",2.29447132611638e-08,1.78773623214555e-10,12.4140654749785,14.2336257013143,3.58284187692308,"AU151222","CDON","cell adhesion associated, oncogene regulated","50937"
"202409_at","202409_at",2.37375875810922e-08,1.86052932253151e-10,12.3845583432307,14.1933508412877,4.78647370769231,"X07868","INS-IGF2///IGF2","INS-IGF2 readthrough///insulin like growth factor 2","723961///3481"
"207480_s_at","207480_s_at",2.37375875810922e-08,1.8625377361296e-10,12.3837614570941,14.1922620278442,1.89891550769231,"","MEIS2","Meis homeobox 2","4212"
"222722_at","222722_at",2.38741026948149e-08,1.8776157583485e-10,12.3778074790222,14.1841250192578,4.81462032307693,"AV700059","OGN","osteoglycin","4969"
"202291_s_at","202291_s_at",2.46071866825001e-08,1.93977091178007e-10,12.3537814724,14.1512561383802,2.23839255384616,"NM_000900","MGP","matrix Gla protein","4256"
"32625_at","32625_at",2.50832961446244e-08,1.99106548271916e-10,12.3345531987236,14.1249118159853,2.42393812307693,"X15357","NPR1","natriuretic peptide receptor 1","4881"
"211577_s_at","211577_s_at",2.59682838154989e-08,2.06606373292035e-10,12.3073535675439,14.0875867195016,3.60050452307692,"M37484","IGF1","insulin like growth factor 1","3479"
"225241_at","225241_at",2.66888093707662e-08,2.13803356276097e-10,12.2822074971847,14.05301763478,3.34335255384616,"AA570507","CCDC80","coiled-coil domain containing 80","151887"
"207191_s_at","207191_s_at",2.67468008077021e-08,2.1494736192315e-10,12.2782921701721,14.0476297419011,3.0608756,"NM_005545","ISLR","immunoglobulin superfamily containing leucine rich repeat","3671"
"202196_s_at","202196_s_at",2.67468008077021e-08,2.15735512687638e-10,12.2756074219448,14.0439344147429,3.22151504615385,"NM_013253","DKK3","dickkopf WNT signaling pathway inhibitor 3","27122"
"203021_at","203021_at",2.77772650275961e-08,2.25063162454962e-10,12.2445920892416,14.0011949991574,3.13232804615385,"NM_003064","SLPI","secretory leukocyte peptidase inhibitor","6590"
"225790_at","225790_at",2.8341000279123e-08,2.30667491983717e-10,12.2265979699295,13.9763571390703,2.89092853846154,"AL048386","MSRB3","methionine sulfoxide reductase B3","253827"
"52651_at","52651_at",2.92698588770871e-08,2.38762817726215e-10,12.201398355411,13.9415215866115,1.44949092307692,"AI806793","COL8A2","collagen type VIII alpha 2 chain","1296"
